episode_peak,episode_trough,depth,algorithm,bear_flip_date,days_peak_to_bear,bull_flip_date,days_trough_to_bull,note
2024-07-10,2025-04-08,-0.41360963268988205,hmm,2024-07-17,5.0,2025-05-01,16.0,
2024-07-10,2025-04-08,-0.41360963268988205,cusum,2025-04-04,185.0,2026-04-24,262.0,
2024-07-10,2025-04-08,-0.41360963268988205,coppock,,,,,never bear before trough; already bull at trough
2024-07-10,2025-04-08,-0.41360963268988205,kalman,2024-07-11,1.0,2025-05-12,23.0,
2024-07-10,2025-04-08,-0.41360963268988205,vix_ts,2024-08-02,17.0,2025-04-25,12.0,
2024-07-10,2025-04-08,-0.41360963268988205,composite,2025-04-04,185.0,2025-05-01,16.0,
2024-07-10,2025-04-08,-0.41360963268988205,composite_gated,2024-08-02,17.0,2025-05-01,16.0,
2024-07-10,2025-04-08,-0.41360963268988205,hmm_walkforward,2024-07-17,5.0,2025-05-01,16.0,
2026-06-22,2026-07-29,-0.2900871742416147,hmm,2026-06-22,0.0,,,
2026-06-22,2026-07-29,-0.2900871742416147,cusum,,,,,never bear before trough; already bull at trough
2026-06-22,2026-07-29,-0.2900871742416147,coppock,,,,,never bear before trough; already bull at trough
2026-06-22,2026-07-29,-0.2900871742416147,kalman,2026-06-23,1.0,,,
2026-06-22,2026-07-29,-0.2900871742416147,vix_ts,,,,,never bear before trough; already bull at trough
2026-06-22,2026-07-29,-0.2900871742416147,composite,,,,,never bear before trough; already bull at trough
2026-06-22,2026-07-29,-0.2900871742416147,composite_gated,,,,,never bear before trough; already bull at trough
2026-06-22,2026-07-29,-0.2900871742416147,hmm_walkforward,2026-06-22,0.0,,,
