q,mult,train_sharpe_net,train_time_in_mkt
1e-05,0.05,0.20650752741267206,0.5717821782178217
1e-05,0.1,0.01220545791572732,0.5396039603960396
1e-05,0.25,-0.11493341817753792,0.4597772277227723
1e-05,0.5,0.2897103647176059,0.2939356435643564
1e-05,1.0,-0.4625173007639013,0.08292079207920793
1e-05,2.0,0.5428075900032314,0.0018564356435643563
3e-05,0.05,-0.020992691343623842,0.5655940594059405
3e-05,0.1,-0.052776254344233546,0.5383663366336634
3e-05,0.25,-0.19378842555656509,0.4535891089108911
3e-05,0.5,-0.14253157861491578,0.297029702970297
3e-05,1.0,-0.38906111182462344,0.08477722772277228
3e-05,2.0,0.6584992081209289,0.0018564356435643563
0.0001,0.05,-0.18791965505575156,0.5457920792079208
0.0001,0.1,-0.1537404851769454,0.5297029702970297
0.0001,0.25,-0.09625505762903067,0.44183168316831684
0.0001,0.5,-0.6507562526315142,0.30383663366336633
0.0001,1.0,-0.2882629958451954,0.0922029702970297
0.0001,2.0,0.5192215446699916,0.005569306930693069
0.0003,0.05,-0.03690406261193954,0.5408415841584159
0.0003,0.1,-0.11848404867476009,0.5142326732673267
0.0003,0.25,-0.29756632551910944,0.4368811881188119
0.0003,0.5,-0.6673639239883138,0.3025990099009901
0.0003,1.0,-0.535629609228917,0.11262376237623763
0.0003,2.0,0.26850785704803787,0.007425742574257425
0.001,0.05,-0.15129578585198847,0.5297029702970297
0.001,0.1,-0.30113263043438016,0.5074257425742574
0.001,0.25,-0.598728111805664,0.42636138613861385
0.001,0.5,-0.724198469938621,0.30445544554455445
0.001,1.0,-1.162286839796272,0.13304455445544555
0.001,2.0,0.2719844379311698,0.014232673267326733
