,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
MU,0.8194511592663427,-0.05626512699312624,0.02167670519868442,-0.07709615191143444,-0.09548846027469012,-0.282546503136,-0.023922052888237615,0.1938581771240071,0.12611813435572203,-0.20176358760989718,0.23129752530602035,-0.1526104438033139,0.13574059206306746,-0.16309430528188554,0.03686039552760936,0.007679100994308551,-0.10883771820050589,0.006727022194071197,0.00893673553783972,0.0,0.0,-0.0,-0.0,-1.6468961012236884e-08,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK Hynix,0.43279425033083196,-0.0030952098330626447,0.48271405741147444,-0.09398438518804571,-0.4991444426370926,0.2029214605550753,0.29030030820710645,0.2601731341141097,-0.20576456529757925,-0.15395601753259036,-0.11469061870864594,0.037835310704622836,-0.023558137815475437,-0.11179707793655706,0.10091162350955338,0.021075500458994995,0.07643656302726703,0.13422652032196933,0.019489379840735406,1.4280513886357419e-08,-9.605200626521657e-09,-1.7986722442756374e-09,-4.272489364913e-09,9.480989024105655e-10,-1.0559877723348722e-09,1.6796972739750437e-09,-2.2214862077641207e-09,-2.6281890593293023e-09,-1.350849547583654e-10,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
Samsung,0.30894321356023213,0.18274081569423098,0.14845968860351394,-0.012912517748350696,-0.7698422030938659,0.16240009826859914,0.18833558098551997,0.27698580829314057,-0.11233598094047986,-0.0657740426185346,-0.27986538426646296,-0.08606963734894207,0.031393521238796684,0.09206258099068901,0.014211575899573352,0.026460865659335978,-0.04169263074933496,-0.037100801910403894,0.03967943850086229,-6.575216700949362e-09,1.1525235091924993e-08,6.805597823310116e-09,2.253292864493123e-09,-1.2807585864897864e-09,2.9357357166277823e-09,3.7419414308141964e-10,-2.2688962047399816e-10,5.374160026023476e-09,-2.4519986972552207e-10,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
SNDK,0.7108236178611687,-0.0661728440707156,0.08398351147858168,-0.06726571111570538,-0.1510369852788479,-0.3372665675787864,-0.04318108820531676,-0.1434524088486007,-0.26908119176054085,-0.25425872986635467,0.2476089284629133,-0.07268330262632945,0.08012323721030831,0.09413377801346376,-0.13347951306170466,0.28159007209310993,0.032057696566537376,0.04165359898597068,-0.031149997696556637,-1.1871683820793055e-08,-4.504205007332186e-09,2.4923006366604176e-10,2.4681405802738723e-09,6.713172994474743e-09,-2.0392354324056523e-10,-2.4123191175438994e-09,1.131045644332179e-09,8.753375797264688e-10,-1.3017481696366558e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
NVDA,0.707955537408552,0.298978403774252,0.08420184048617542,0.5345336274533738,-0.11789553671801538,-0.07190821470227042,-0.07989251471437857,0.07311230026788827,0.2138520617603175,0.02623107287496824,-0.13571661275530691,-0.0014119177851747442,-0.11523279215321248,0.029746141590624064,0.03983513534871056,0.04327092107948574,0.019737196414604866,-0.040043972419077985,-0.03659055128450963,-1.2318688539148484e-08,-7.628310919671053e-09,-5.345281462354865e-09,1.6704862534386387e-09,-6.474717591169877e-10,-7.483288423192822e-10,-1.7308573729821021e-09,3.2192653949363985e-09,-2.1827856484600266e-09,-1.4246014774783432e-09,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
AMD,0.8565215850023034,-0.19380160022282003,0.1361890720077922,-0.19435508652935257,0.10761308812501713,-0.08344564363533917,-0.3005765134868036,0.05083388293820782,0.007657647437087605,-0.035658647054077834,-0.18573417563974112,-0.12320504981650231,-0.006107327221158617,-0.03918801726072188,-0.03357086269749437,-0.034547893097525186,-0.0372689435374372,-0.052625814571941695,0.0442427115026267,5.953696668438496e-09,3.10200210053557e-09,5.341945310962427e-09,-3.6546855583523662e-09,5.1920701229974204e-09,-3.1047776063552143e-09,5.532402391328872e-09,5.581165000198853e-09,5.2253224931444e-10,-1.1858236517829306e-09,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
AVGO,0.6837821625220939,0.10251785484999025,-0.1640830551147362,-0.38664680284389175,-0.1803346063512782,-0.2535619032156108,-0.07734038208378373,0.3870558212334582,-0.04136477316483584,0.10057592510947849,0.10840752618581219,-0.05182084466795138,-0.18166929883056543,-0.1008268697371446,-0.0656549208998837,-0.13280569908069184,0.007060443811642651,0.013373773985695385,-0.03597940212786743,5.431160291217543e-09,-3.1276965602994275e-10,-8.230557032144588e-09,2.9526828826166053e-09,6.443698684218264e-09,-9.128947536760071e-10,-2.584882086355669e-09,1.5739044760778466e-09,4.08031852099716e-09,-6.028930211845135e-11,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
MRVL,0.7160621843566047,-0.24210522478440683,-0.41750268929014683,0.13033640327059923,-0.06519193782838416,0.06043640556171005,-0.25066623816641725,0.05061462028859155,0.08538874115094358,0.2927137987972564,0.007885334830753767,0.03812606443034732,0.023788593650565015,-0.11645400130511292,0.13247689830816178,0.1515686688069715,-0.05408886325005303,0.05855503355035728,0.0924807277822628,-6.83569280907236e-09,-6.356538913806084e-09,5.904945274912799e-10,2.6182967053678253e-09,8.9392941761723e-11,-8.489483454004734e-09,2.60964831642237e-09,-1.7282462270145865e-09,2.004571207892364e-09,-4.286242176257823e-10,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
CRDO,0.5591429233878371,-0.16195366506169076,-0.0035237054441169904,-0.20822686412223326,0.22391291378036582,-0.06349114408273387,0.4749543706389542,-0.19112154132526887,0.4359752857108773,-0.05859307784653945,-0.016213484272502608,0.28208717798975935,-0.06844088715355744,-0.08520541251739076,0.04198877233384451,0.0950525029799903,0.06094846018829827,-0.025895001250194158,0.031797357166281105,-1.5291133173598413e-09,2.390690137648294e-09,-5.0191865093254705e-09,-3.8672366334545806e-10,-5.430553019366078e-10,4.271264582655114e-09,1.107273225772629e-09,2.5363838736746096e-09,4.505980006773682e-09,5.520092766976412e-10,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
INTC,0.6902309015523912,-0.4203345855310683,0.14708950593531472,0.052939997544735086,0.3188053769254128,-0.24439058575531453,-0.17882573580414787,0.05195843212744572,0.018380186896612024,-0.09365909842546856,-0.16194405938806736,-0.05416592236279734,0.05074220017485135,0.243640395931102,-0.08423671553546223,0.04081780935468275,0.09219119767578016,-0.08193246167649698,0.04733987232866061,1.7015029859164864e-08,-2.1891752028164683e-09,-5.709049902120917e-09,1.5711852012020844e-10,-3.1792532752587727e-09,3.0234568988002805e-09,4.994842077852725e-10,-5.809105456887964e-09,3.5246833089814275e-09,-9.602135089482329e-10,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
