,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
MU,0.7659482773050605,-0.059004024099020023,-0.07105633661548967,0.23607438745076173,-0.19993477576161556,-0.1331402341426126,-0.05965976717272202,-0.031341275341689415,0.08629043532027621,-0.17817930003361523,0.15322902802238292,-0.24423020680724705,0.05461846552677924,-0.06676101460727657,0.14213675196338302,-0.07484230393532246,-0.007683366520437445,-0.036930224532194626,-0.22609413531896888,0.12471977543042793,0.09812324245233821,-0.053844028454435186,-0.06720932998341228,0.017792080559554953,0.1083165397813965,-0.056692020805329396,0.0943647047612821,-0.028870022943838957,-0.04324169004301887,0.029876282469947106,-0.005523519337768342,-0.11436722578763345,0.03448921218460495,0.03152139699423926,0.006347234199573529,0.014938619278544696,-0.0305273013531946,0.00035134713964520996,-0.00785518630182417,-0.007947260760315987,0.041660756208138805
SK Hynix,0.37191194111702996,-0.09388774656860976,0.13681106678567903,0.7742094901018218,0.043895066281749086,0.053879267982824,0.19210622181091477,0.0027947532620031398,0.2705877809485839,0.03944189576236671,-0.06360660882140438,-0.11583780873034405,0.15398682655545462,0.06596630221856441,-0.05398465547457115,0.020375786852012728,0.0491606669311099,-0.012592304631857754,0.05945504845273796,0.14987093658149894,-0.0950113689600169,-0.026545740964272504,0.09250915670197793,0.0015724130573543454,-0.04558845934207713,0.03301734716609131,0.029101908482126862,-0.040585069516318587,0.0660366699095385,-0.012211735033234665,0.024519039574162328,-0.0030252314816680923,0.0009380908917391695,-0.031880893815395536,0.035430286243038026,-0.0029147756506421245,0.057078670579482814,-0.0753751718355847,-0.021754027335413845,0.0057697775080908145,-0.001550701753617527
Samsung,0.27683528637333243,-0.03034741759932091,0.08016679695528932,0.8728020817949527,0.18033542135764288,-0.07107565244500047,0.10829663399686877,-0.06451967851582577,0.08798027383684784,0.1080332811783635,-0.11860140109072627,-0.0021419362477014597,-0.04194704987904085,0.01568301948647132,0.0006747577295139284,0.026878204313045516,0.06540581027738888,0.05388965028842264,0.1117816511607151,0.0008055274148530843,0.13257578627081515,0.06464159060195573,-0.02809658570882473,-0.0056757777467154715,0.0034095085706418483,0.04896443147442449,-0.054134152404997346,0.029118649683913107,-0.010916496482475927,0.05022938008094107,0.013201451454253726,0.043841899580032845,0.008920774798020748,0.01645204816113756,-0.027842851743187333,0.014250222427658407,-0.04221873913529372,0.08179429983522861,0.03795503121310537,0.008846907417189086,0.007481751712392688
SNDK,0.7057687091083658,-0.006120979972189642,-0.05621084000772722,0.0014667166962400561,-0.18097775680912986,-0.4008709458996879,-0.10925597948426499,0.07156370087828141,0.13368193767164868,-0.07104245885193379,0.268561794034347,-0.15163693142194945,0.1746209568971127,-0.047524005610698146,0.20428129574486173,-0.027814396427530638,-0.04529288627696885,0.046300524686124084,-0.049100487441256765,-0.0433390624057276,-0.07962358269040765,0.16654438078424277,-0.10421968440240682,0.08077958423899537,-0.024616364754528584,-0.025860372894033645,0.053842331262931344,-0.056954666367930874,0.012781873041067775,-0.03550160820166227,-0.038815219832102135,0.12919820483026934,-0.037997347315615396,-0.04949005049121638,-0.04175445641983277,0.02785717183632242,0.02784952084533199,0.013238741082030988,0.010721025569505238,0.010505516828104492,-0.017687454187653755
NVDA,0.6385308028080223,0.21650203503303028,0.23026906402578684,0.14574207378131546,0.3537595557811053,0.05527673689564629,-0.18560123671382267,0.07309279058771216,-0.16680471890800133,-0.22639326067359752,-0.08520193907116458,0.0005859012045227052,-0.12375245008508022,0.20417684517748502,-0.14687426808509813,-0.06641522966700013,0.07073136229624041,-0.1394326433008552,-0.20303071634286263,-0.0628381110576616,0.055773643775115324,0.08500227656883007,0.09821521342425658,-0.1223779906687208,0.006842655771311581,-0.016233167425906508,0.04079297228274792,-0.007623821324598014,-0.048490303233640536,-0.08471883047021454,0.011371966388718027,0.05212388904325648,0.08553823827705404,-0.06325615454753987,-0.04355305999401435,-0.016350334150114644,0.012256058329834573,0.007971479944102583,-0.021092201678244372,-0.0262892611182066,-0.0036113283858214495
AMD,0.7607212071456271,-0.10354225974130507,0.12846138586212935,-0.0562407755195819,-0.2360843894396387,-0.19596949359727492,0.039842677845523235,-0.09391654505264159,-0.0666685042681517,-0.1157925434124104,-0.2926264587204064,0.1270268980186342,-0.11177074204233241,-0.011454344044723798,-0.0858406144271887,0.017550746801830074,0.2540495683463256,0.06763767951213752,0.044461464117780236,-0.0012648721677131212,0.1084993233774931,0.058095950211293296,0.06726912340565987,0.06853786985120096,0.08851235575385208,-0.03473649910244604,-0.024012158041775755,0.010039854523906152,-0.12391156981778889,-0.0040052428802551,-0.12118675652261232,-0.02177618207910951,-0.0753108426051295,0.013199253738421008,0.004684205143387966,-0.013308106624331437,0.06169004969251892,-0.017264640315468795,0.02087922069072276,0.01212499865988802,0.0022547280769893733
AVGO,0.6866518173635695,0.1119127193057594,-0.09206885946928903,0.041782085227771035,-0.13805726693399398,0.025166218044993693,-0.017371118207692566,-0.12699392085342207,-0.23139156172554545,-0.06693164061454675,0.14285826682845115,-0.0008075833550254565,-0.18095036996596806,-0.22224956943259108,-0.17094963327399623,-0.24164923538000635,-0.177630627961321,0.3542472038890384,0.07562586375986427,0.13847965256069925,0.04868704398609473,0.023238798990790194,0.10548792084556086,-0.08821900189298115,-0.04194975237370133,-0.06163164724301077,-0.0699352858888189,-0.008495935790142892,0.041617363241967784,0.017760922332196147,0.002235299571603347,-0.008786674435633022,0.000368408407111205,-0.05952104166440716,-0.02080941671691733,0.026357706679308396,-0.011400484536649885,-0.009195202189890861,-0.012408460967459675,0.0011240439626254745,-0.001083033399330541
MRVL,0.6736783623574003,-0.2120826802856342,-0.2549798269120261,-0.08993770880627643,-0.0074902632240415375,0.18044514854689975,-0.04205068353401702,-0.06022971491327624,-0.4098168561451929,0.13130256131934556,0.0939390995513115,-0.09211583439612978,-0.21713465541910051,0.003439783284951547,0.08481080201247335,0.03742505425384883,0.16388537762223698,-0.14317258251138085,0.05367612918079785,0.12673455842565295,0.015077645758301911,0.05431967579337645,-0.1300303046432366,-0.017729813839290287,-0.03075440633747418,0.06393872722092173,0.08546720974265484,0.004474547835878522,0.07704833635068328,0.13447943983220675,-0.005658447549734396,0.01104093577456212,0.06527149691996922,-0.022239951073885104,0.007760236534624921,-0.010174373441760622,0.02573499996417111,-0.023295685658181936,0.0482928991136056,0.00444829874424439,-0.01001782502423297
CRDO,0.5792428727857813,0.012441635246742504,-0.08095764018377845,-0.21173872437437852,0.08603129988668111,0.14280013875696004,0.19627930131064625,-0.35964531902904967,0.3741351756524008,-0.16698067588037666,0.16335496216938866,0.03164786916263204,-0.2063584169791548,-0.15703509240519387,0.0032941770965119626,0.08671791914682206,-0.06864763341256722,-0.2616788289646657,0.025344929149767565,-0.023369564958665406,-0.030877324337673047,-0.10542041452190944,0.21392008276844895,0.06294126452719587,0.006316307005529199,0.006964440461118936,0.0008045823327918211,-0.018528262268421494,0.0012070093796392165,0.044630330814384785,-0.03141207428475007,0.031862852378284,-0.009750931080149319,-0.07003112262218682,0.014108050990935282,0.005098327034176852,-0.014410731196220968,0.024561156491390134,0.01242714991827927,0.010976560234501784,0.006789444808349846
INTC,0.6767000278873689,-0.1444697110597395,0.005904081566091699,-0.18355671081093938,-0.2244555004256784,-0.3727991695966827,0.0067277367097246694,0.16222939581420023,0.16392438998567097,-0.21051128491053814,-0.14980434255622233,-0.024112051944284233,-0.22893602545899988,0.15916989532786996,0.04371590522717993,0.025455377182282177,0.11548258540955764,0.08400140181667605,0.039875848478181576,-0.1432766087118276,-0.02463322674268471,0.026378818902633626,0.056251470021631056,-0.017555936196631334,0.00911424806037055,-0.07843510467425578,-0.029764365258808555,0.007331682357593243,0.12923481836919265,-0.010484955752657014,0.13408711878735463,-0.0039928470798035395,0.04197099486648323,0.01484888271768402,0.06518980860394931,-0.009677584359660688,-0.025078408391590007,-0.006711597894644869,0.02237039874150047,0.02171693928921854,0.0009080435917820298
