,PC1_60d,PC1_20d,delta,sector
CRWD,0.26713334848569165,0.5370225521311531,0.2698892036454615,Software/Sec
SHOP,0.18993613788785912,0.42808611936629165,0.23814998147843253,Software/Sec
DDOG,0.10139477919612151,0.3319191608700568,0.2305243816739353,Software/Sec
NKE,0.10613798995849466,0.3307641042002499,0.22462611424175521,Consumer
LULU,0.49490207562396066,0.6782177423012876,0.18331566667732696,Consumer
PANW,0.24505680797978907,0.41559379341167724,0.17053698543188817,Software/Sec
CDNS,0.5588516309820303,0.7146569962340932,0.1558053652520629,EDA
ENPH,0.5568629538899459,0.7098024472806058,0.15293949339065993,AI-power/DC
TSLA,0.6849938000926825,0.8090992527049222,0.12410545261223971,Mega-cap
IONQ,0.6448290309352966,0.7634752944506825,0.11864626351538587,Quantum
NOW,0.05041441915015818,0.15416091337373342,0.10374649422357524,Software/Sec
MDB,0.12742566514805012,0.22633937612600485,0.09891371097795473,Software/Sec
AMD,0.7607212071456271,0.8565215850023034,0.09580037785667628,Compute/AI-silicon
U,0.2654713727993935,0.357575006595715,0.09210363379632153,Software/Sec
QCOM,0.5404875454880308,0.6293690601468916,0.08888151465886085,Compute/AI-silicon
BE,0.6052246069193844,0.6908784710185653,0.08565386409918085,AI-power/DC
NVDA,0.6385308028080223,0.707955537408552,0.06942473460052967,Compute/AI-silicon
SK Hynix,0.37191194111702996,0.43279425033083196,0.060882309213802,Memory/HBM
MU,0.7659482773050605,0.8194511592663427,0.05350288196128217,Memory/HBM
MRVL,0.6736783623574003,0.7160621843566047,0.04238382199920443,Compute/AI-silicon
DELL,0.4025829490375134,0.4446196984774857,0.04203674943997232,Mega-cap
TEAM,0.0038811857113942505,0.04565799975235295,0.0417768140409587,Software/Sec
ADBE,-0.10852944970615777,-0.15019661961125366,0.04166716990509589,Software/Sec
KLAC,0.2909059681574378,0.3320459942927964,0.04114002613535861,Semicap
Samsung,0.27683528637333243,0.30894321356023213,0.0321079271868997,Memory/HBM
LRCX,0.8682041975815283,0.8930922939377529,0.024888096356224576,Semicap
AMAT,0.8345609882694938,0.8493922720715613,0.014831283802067552,Semicap
INTC,0.6767000278873689,0.6902309015523912,0.013530873665022258,Compute/AI-silicon
VRT,0.739737120595972,0.7482442178760442,0.008507097280072262,AI-power/DC
SNDK,0.7057687091083658,0.7108236178611687,0.0050549087528029,Memory/HBM
AVGO,0.6866518173635695,0.6837821625220939,-0.0028696548414756107,Compute/AI-silicon
CRDO,0.5792428727857813,0.5591429233878371,-0.02009994939794424,Compute/AI-silicon
AAOI,0.4948356782086183,0.43567321596989234,-0.059162462238725955,Optical/Net
HUBS,-0.09395288891250296,0.031524388294038114,-0.06242850061846485,Software/Sec
AMZN,0.5470723533331151,0.48301058759200144,-0.06406176574111366,Mega-cap
LITE,0.5922879454753871,0.5235788659381172,-0.0687090795372699,Optical/Net
AS,0.5818960688808862,0.5025174003004921,-0.07937866858039411,Consumer
COHR,0.740968937527193,0.634896283700251,-0.10607265382694198,Optical/Net
WDAY,-0.17587074914362938,-0.06614084780889404,-0.10972990133473534,Software/Sec
UBER,0.34943971736958385,0.22152348940440528,-0.12791622796517857,Mega-cap
GOOG,0.441537349348257,0.12430285556408423,-0.3172344937841728,Mega-cap
