,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
NOW,0.9438628339207195,-0.10195588281392182,0.15077229343886148,-0.1428790365087107,-0.057094149970628096,-0.14098595903592684,-0.008058891213411908,0.124748193273502,0.0074222657187376926,0.02815054178636112,-0.1263719196273554
WDAY,0.8161016937077288,-0.4089446057684558,0.1439118305571894,-0.09229870645257668,0.2825088873096955,0.0050092340272539105,-0.004917935258221757,0.19161268565094897,-0.12915442284069592,-0.025378333977104327,0.06009802620948384
TEAM,0.898576020340342,-0.16656345524442048,-0.1432339252685993,-0.21560776443337717,0.09060428976075191,-0.028571082729938267,-0.04978917814593137,-0.27096686042273016,-0.05145361470128499,-0.09940473710296767,-0.018943695283548643
HUBS,0.8026215503835774,-0.42963818430937656,-0.08005659426567785,0.019431794586946945,0.34399147481034925,-0.02707884222954113,0.10366762064433435,-0.05163460559013892,0.16246009502809736,0.07018939122608857,0.025033675249368906
ADBE,0.6783017463530724,-0.3126019250582977,0.4673176420867805,0.08309668036422303,-0.2671257694956483,0.3524810115143285,0.13006021314488597,-0.06548692700538397,0.0014501149480768876,0.008745802938219341,0.003756552942814656
SHOP,0.7335539318487724,-0.15548199922945113,-0.4895793174645792,0.23351672679035346,-0.0942342562937283,0.24134396387441698,-0.26716461910634015,0.06867717635721246,0.010069345515968185,0.009424404422616635,-0.009762370333649299
CRWD,0.3925833739398131,0.8694128627215935,-0.004154334473282811,-0.024220220910589563,0.20607103701574,0.11513514394927653,0.005347503658609666,-0.09151606904750027,-0.09509528729096511,0.12700961451414033,-0.009796675056972008
PANW,0.3380880016971028,0.8720149278921647,-0.04796289524387484,-0.18218489225529844,0.10794338121862648,0.19195738440357618,0.09413180752142904,0.11827840364360141,0.08860371590130006,-0.10292676846232927,-0.0004090062519455735
DDOG,0.6694016428585251,0.357614051785832,0.0905740724283381,0.6074100081767663,0.05114261713994013,-0.17818990795254863,0.09335914811905603,-0.017786663714293553,-0.01761860780566558,-0.05587636449699566,-0.005564161752017622
MDB,0.7448258440489697,0.4087119132409734,0.3369937100779448,-0.10566376974774772,-0.20166341910767185,-0.17831447988033158,-0.26944556495821465,-0.01506678552554883,0.06242119065956073,0.016175716411023233,0.06331882385641002
U,0.7618180555903943,0.09271368710175933,-0.41798474972389354,-0.12618757414614126,-0.37447814677060126,-0.12830014414944604,0.24308190329717683,0.031393276862178195,-0.028160904577569118,0.03225799755717389,0.04242751037443786
