,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
MU,0.8722730344325405,0.05502222286672942,0.1579915535447884,-0.1362786817194139,-0.07014479172219307,-0.0960654692128181,-0.2081866869905086,0.23421963810851484,0.004421960804354309,-0.001624511853861263,-0.2730268347244085,-0.03979445716631251,0.054880469747541766,0.022952272640331315,-0.02327186622088716
SK Hynix,0.421861000074955,0.7439506421375439,0.16252211012341167,-0.21135636704998986,0.30529040655032685,0.08606784860100837,0.19826025973355196,-0.015892452687983716,0.08965355012800111,-0.14788347602520974,-0.04006850343758194,0.13735838094606762,-0.08178371933373348,0.00926738710958577,-0.012713317554070019
Samsung,0.2821274328679537,0.8496614330516303,0.2614056270930243,-0.023925136844463953,0.10450969189497525,-0.08419324590725279,0.09972224214196679,-0.21949024266134343,-0.01834040648359177,0.11902385391947712,0.03897006911838615,-0.18062996927679525,0.06567012968548844,0.01876605588297452,0.011372994995065956
SNDK,0.75019210019391,0.09204391947083168,-0.065531467016589,-0.4030469242131594,-0.29200379992838127,-0.11897948888817975,0.0016430444428337382,0.1797298541304403,0.29423456748430377,0.18050930798482948,0.08543200938851109,0.05118218845282275,-0.02618855826109217,-0.012648691030733057,0.018681804387289835
NVDA,0.6184151062277661,0.18081349822171366,0.41590903677998425,0.24825048584315096,-0.41946273742917917,0.3147007541098857,0.01635307390082721,-0.11161453936054759,-0.173423445367662,0.09242092835917586,0.016909910196447685,0.15028795982620435,0.025871502092431282,-0.016932793791246847,-0.010199707951459172
AMD,0.9174224995814869,-0.046853557261071016,-0.22708794456688605,0.022963328363377337,-0.012178802371580642,-0.0486192212059238,0.16241538042528905,-0.0112672158093409,-0.2345673363497303,-0.008020193711829266,-0.1136385221979128,-0.0029636316965740606,-0.05227103438359521,-0.011169594477660888,0.0645051785670996
AVGO,0.7363748377187892,0.17829879755060743,0.038217928867829376,0.041158861376012316,0.15064599514934643,-0.38544410015206304,-0.37870424492800436,0.13329655302229285,-0.24914261743903798,-0.0013439885989454327,0.15928892277414802,0.03295007660924913,-0.040602516541409284,0.006512715132889708,-0.01171453944902566
MRVL,0.7414121129324549,-0.21712026020911385,0.08530150866182029,0.4084981858562285,-0.027871757528145632,-0.11811344693978214,-0.15378732910152357,-0.3501308584861559,0.2196812586564785,0.029324643137701157,-0.05936721534628918,-0.055060120405347586,-0.11080433784181216,-0.0002445709067615419,-0.009820386308416681
CRDO,0.5278042482068582,-0.2623069704908098,0.0455798517335556,-0.24911884318686525,0.37207870742202226,0.5944306574736461,-0.2924389444154432,-0.02114403607452868,-0.014953152850244015,0.08280864168340882,0.031989534518196354,-0.04623238301596113,-0.01768093788549921,0.009732454707274473,0.008547668886857792
INTC,0.7787603022447483,-0.364579188054847,-0.03984048006024623,-0.0855969708320069,-0.07075320347457437,0.06160627203874484,0.43282725546915984,0.11987157508844878,-0.12758289928231653,0.03795656107632807,0.06154872958458999,-0.11335721338913107,-0.05666196621310721,0.04474555794816369,-0.04026638598430243
QCOM,0.6562852561877529,-0.05727371308593471,-0.6082557748446431,0.0894802826006928,0.2959973516704673,-0.08810926957474145,0.10392151536468133,-0.1961475561460503,0.01079370759739786,0.1369779002866267,-0.0218369753914559,0.12719323702127808,0.08598657189636066,0.008658833340966931,-0.01932011141116494
CBRS,0.10615154294475326,-0.49219443211335806,0.6501722324004405,0.2221228463572584,0.39946238761112884,-0.1757288694419964,0.1966382779778911,0.16707796400692532,0.07789263567673292,0.0803813419315534,0.006925629926862699,0.058216683724205104,0.03331527060288552,-0.0020964476450016684,0.017367653534432963
AMAT,0.9066700037628862,-0.23890238374072675,0.049437231358873346,-0.011878351098238088,-0.13433408850241038,0.012796602265004065,-0.03236220659862694,-0.11126118798889253,0.10946640747152447,-0.22297273200748158,0.09679957558649047,0.017200446444713538,0.07979856049521397,0.0925027040262649,0.019077427340338526
LRCX,0.956621059932596,-0.1381945921246484,0.024725969876004627,-0.08856426401190938,0.03480089207206237,0.0028301540155880045,0.06057871536034097,-0.04108315889832256,0.034940539827773266,-0.14449139993567162,0.049259253149612846,-0.06401645300328608,0.05276708068965947,-0.1386668897850948,-0.010517795022490175
KLAC,0.3566012783823304,0.42415180129503127,-0.2875826418188774,0.6189529809310008,0.035993043659571976,0.23089533118113928,0.005493869700873083,0.3905460766954219,0.1262427465552419,-0.019771696713234015,0.040328627749411754,-0.04392541195861734,0.006775838747621854,-0.0008193642542946063,0.005390828010177776
