,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
MU,0.8647825155893972,0.07874767782212265,-0.06030054494218603,-0.10096711842905828,-0.07687838902461688,-0.1076763680685752,0.32018977338326404,0.13226588450772733,0.08033252923511339,-0.25715476265745113,0.042879813712559556,-0.1283229448277348,-0.05868819088643854,0.016358470817240844
SK Hynix,0.5606291015248165,0.7335066579449707,-0.2650290307119468,-0.05247894333883889,0.004324217315153782,0.05439107565876,-0.02472383275894082,0.04354454967658841,-0.095924449937916,-0.05550945412642545,0.16875638362030768,0.16675340564390284,0.006370878952310599,0.023984994932117174
Samsung,0.47381401090393044,0.7993224786058774,-0.059086434550911886,0.1281946641700037,-0.03795645121741401,-0.035934965456136225,-0.18443849057168687,-0.14741407779051047,0.1356501430718542,0.09101839912338429,-0.09554204604395505,-0.1491212152342635,0.0010928004354839608,-0.011241647029926184
SNDK,0.8077376319357441,-0.013422524583967888,-0.247165021786644,-0.21098887815823195,-0.016050104272345777,-0.2460221249171092,0.3041272912011408,0.0719937177426431,0.11527847320915385,0.16171928668163163,-0.18044926893766938,0.10322830541976376,0.02523192673510432,-0.0038699801993913024
NVDA,0.5186913202241703,0.2715713035645101,0.6466469203860836,0.1756626956842664,0.35045195687704145,-0.04386945365268073,0.10491890138180851,0.252788362218948,-0.06888787400054638,0.051581373149718064,-0.014448702718193969,0.0055387938728496304,0.028612412473430635,-0.009132003372406034
AMD,0.8359614006231595,-0.1386934592681195,0.019685880600720605,0.29312537035216385,0.18287912980201987,-0.08057039311139332,-0.14622976458810247,-0.21384294186052427,-0.03062652810760758,-0.21172849314605122,-0.1793009504471498,0.08899540785173549,0.01694198004396981,0.049511099920955766
AVGO,0.6479683428772405,-0.05432175569499298,0.2622724375807468,0.3958395267140328,-0.46688592280797014,-0.016974149425372745,0.2592819328403385,-0.21913272343799706,-0.06520984271603754,0.08260426308762826,0.07976597247641881,0.0261774028856091,-0.008230289192143997,-0.0014700017782939563
MRVL,0.7581550590875102,-0.1641555159948349,0.23848730684827296,-0.043288595101598215,-0.3184413366628777,0.09337254238980783,-0.3174094643523618,0.194889334404532,0.28925067592538534,-0.030393876734210422,0.02707473611838944,0.07243480013178018,0.008512997786595946,-0.0027899208316507175
CRDO,0.6482283441555909,-0.05484463970478413,-0.06462988227142515,-0.03813245884267393,0.13496497675002025,0.7166401917040718,0.17558877874335474,-0.052019113490124745,0.04930955819414429,0.028673151236998283,-0.04871001155223754,-0.009547365589242799,0.008426459664529201,0.006815552562351009
INTC,0.7526001344134255,-0.30649920592869034,-0.15693303733066008,0.1536251317927353,0.4028995533082496,-0.14212923377867567,0.0022716579828909902,-0.14665843826446495,0.18750324769231239,0.062242505259127626,0.21304312566298636,-0.018841107919425983,0.030490720611057672,-0.04094320319400163
QCOM,0.6323779745674697,-0.21891591777470432,-0.4347247923592332,0.4702000177913868,-0.04705823317401778,0.027810330969641372,-0.12816204845471335,0.3052687168841783,-0.1394030723553347,0.07666273114873748,-0.020480208184567826,-0.05385264879436903,-0.02670577151967337,0.012437384872955896
AMAT,0.8919522137205517,-0.14570721247300406,0.022069524714442287,-0.3028037284744849,-0.10649103086150939,-0.03929585062150185,-0.09178161789124865,-0.020801064851467852,-0.15425393943883164,0.01885185932513259,0.04063468638563101,-0.08994517358832198,0.1718491843432588,0.07648082753298331
LRCX,0.9293983021340875,-0.06436605286840269,0.017082918183577496,-0.20996706460340436,-0.046814724088412335,0.006552578267087404,-0.1151991867565883,-0.04292653365867341,-0.1703132801400113,-0.03816003961351425,-0.03226752773145976,-0.0018746171467578458,-0.020509292304547566,-0.1960142283108445
KLAC,0.8833965799413176,-0.13361147748570595,0.14161280970044893,-0.2902700562615872,0.09265255165102187,-0.04247135579458947,-0.1430747935838617,-0.08571357885309186,-0.08810993334077208,0.11801223088822202,0.02540097475257585,-0.009052154652679592,-0.16932848466155656,0.09029121173634361
