ticker,name,sector,n_detectors,trend,rev_growth_TTM_%,net_margin_%,CFO_TTM,FCF_TTM,TEV/Sales_26E,TEV/EBITDA_26E_est,TEV/FCF_26E_est,PE_26E,TEV/Sales_TTM,PE_TTM,L1M_%,L3M_%,L12M_%
ROST,"Ross Stores, Inc.",Consumer Cyclical,6,up,12.2,9.4,3026883072.0,1636926336.0,2.7,19.2,37.6,28.3,3.1,35.1,-4.2,8.5,42.6
HPE,Hewlett Packard Enterprise Comp,Technology,5,up,18.4,-0.3,4487000064.0,2551500032.0,1.4,10.5,20.1,13.7,1.7,,27.8,46.8,90.1
HPQ,HP Inc.,Technology,5,up,6.9,4.5,3705999872.0,2825374976.0,0.5,6.2,9.7,8.5,0.5,9.6,5.5,9.8,-23.7
NTAP,"NetApp, Inc.",Technology,5,up,4.4,18.1,1792000000.0,1116000000.0,3.4,12.9,20.2,16.3,3.6,23.3,15.7,17.7,22.7
BK,The Bank of New York Mellon Cor,Financial Services,4,up,13.4,28.7,3304999936.0,,-3.0,,,14.2,-3.2,17.0,0.5,15.1,56.4
CSCO,"Cisco Systems, Inc.",Technology,4,up,12.0,19.7,13025000448.0,9288375296.0,7.0,25.2,46.1,25.3,7.9,40.1,39.9,54.7,97.3
FTNT,"Fortinet, Inc.",Technology,4,up,20.1,27.5,2804400128.0,1813049984.0,10.7,32.1,41.8,38.9,13.0,51.7,49.0,43.5,18.9
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,4,up,14.5,29.4,-39792001024.0,,0.2,,,15.3,0.2,18.3,5.4,5.3,58.3
NXPI,NXP Semiconductors N.V.,Technology,4,up,12.2,21.0,3048000000.0,3119000064.0,5.4,14.2,21.9,17.7,6.7,29.9,36.4,19.9,40.6
SNPS,"Synopsys, Inc.",Technology,4,up,65.5,13.8,2442895104.0,3096222464.0,9.9,48.9,25.5,31.1,13.1,81.6,13.9,14.9,-2.9
TXN,Texas Instruments Incorporated,Technology,4,up,18.6,29.1,7824000000.0,1068249984.0,12.1,25.6,208.0,35.4,15.2,53.8,36.4,34.5,66.1
CRWD,"CrowdStrike Holdings, Inc.",Technology,3,up,23.3,-3.4,1612349056.0,1604615040.0,22.3,,66.8,109.0,33.3,,42.1,38.3,36.3
FFIV,"F5, Inc.",Technology,3,up,11.0,22.0,1015414976.0,759182528.0,5.9,21.0,25.0,22.4,6.3,32.2,17.7,32.4,28.8
