ticker,date,close,n_detectors,detectors,trend
HPQ,2026-05-22,25.24,6,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion,up
NTAP,2026-05-22,139.36,6,fast_donchian+donchian_20+six_month_high+volume_thrust+range_expansion+trend_continuation,up
ROST,2026-05-22,234.81,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
HPE,2026-05-22,37.58,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
BK,2026-05-21,138.98,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
CSCO,2026-05-22,120.41,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-05-22,133.93,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NXPI,2026-05-22,316.47,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
PLD,2026-05-22,145.9,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
SNPS,2026-05-22,524.74,4,fast_donchian+donchian_20+range_expansion+trend_continuation,up
SWKS,2026-05-22,82.42,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
CRWD,2026-05-22,663.46,3,fast_donchian+donchian_20+six_month_high,up
ESS,2026-05-22,276.7,3,fast_donchian+donchian_20+six_month_high,up
FFIV,2026-05-22,393.63,3,fast_donchian+donchian_20+six_month_high,up
AMD,2026-05-22,467.51,2,six_month_high+trend_continuation,up
ANET,2026-05-22,154.03,2,fast_donchian+trend_continuation,up
CPT,2026-05-22,107.47,2,fast_donchian+donchian_20,up
CZR,2026-05-22,28.47,2,fast_donchian+trend_continuation,up
F,2026-05-22,14.93,2,six_month_high+range_expansion,up
GNRC,2026-05-22,270.14,2,gap_go+trend_continuation,up
GS,2026-05-22,996.73,2,six_month_high+trend_continuation,up
INVH,2026-05-22,29.29,2,fast_donchian+six_month_high,up
KIM,2026-05-22,24.11,2,fast_donchian+trend_continuation,up
TXN,2026-05-22,309.21,2,six_month_high+trend_continuation,up
UDR,2026-05-22,38.01,2,fast_donchian+donchian_20,up
AMAT,2026-05-22,432.16,1,trend_continuation,up
BIIB,2026-05-22,193.76,1,trend_continuation,up
DOC,2026-05-22,19.73,1,six_month_high,up
EMN,2026-05-22,74.12,1,trend_continuation,up
EQIX,2026-05-22,1079.79,1,trend_continuation,up
ETN,2026-05-22,391.35,1,trend_continuation,up
EVRG,2026-05-22,83.94,1,fast_donchian,up
FITB,2026-05-22,49.48,1,trend_continuation,up
GLW,2026-05-22,194.05,1,trend_continuation,up
IFF,2026-05-22,75.28,1,trend_continuation,up
INTC,2026-05-22,119.84,1,trend_continuation,up
LNT,2026-05-22,73.95,1,fast_donchian,up
MGM,2026-05-22,38.4,1,trend_continuation,up
MPWR,2026-05-22,1589.81,1,trend_continuation,up
NTRS,2026-05-22,167.77,1,fast_donchian,up
NUE,2026-05-22,232.0,1,trend_continuation,up
ON,2026-05-22,116.2,1,trend_continuation,up
QCOM,2026-05-22,238.16,1,six_month_high,up
ROK,2026-05-22,452.29,1,trend_continuation,up
SLB,2026-05-22,57.28,1,six_month_high,up
SMCI,2026-05-22,35.58,1,six_month_high,up
TFC,2026-05-22,48.38,1,trend_continuation,up
TRGP,2026-05-22,276.75,1,six_month_high,up
WST,2026-05-22,316.42,1,trend_continuation,up
