ticker,episodes,caught,recall_%,signals,false_alarm_%,signals_per_yr
SMCI,21,11,52.4,69,79.7,17.1
DELL,21,18,85.7,76,65.8,18.8
PLTR,20,16,80.0,88,72.7,21.8
APP,20,19,95.0,98,69.4,24.3
MU,19,16,84.2,85,70.6,21.1
AXON,17,14,82.4,71,71.8,17.6
ARM,17,14,82.4,69,71.0,25.9
ENPH,17,11,64.7,54,72.2,13.4
MRVL,17,16,94.1,86,68.6,21.3
ANET,17,13,76.5,88,73.9,21.8
TSLA,17,12,70.6,71,74.6,17.6
COIN,17,16,94.1,85,71.8,21.1
TER,16,14,87.5,87,72.4,21.6
NVDA,16,15,93.8,93,69.9,23.0
ALB,16,13,81.2,63,66.7,15.6
CRWD,16,13,81.2,88,70.5,21.8
MRNA,16,9,56.2,51,74.5,12.6
INTC,16,12,75.0,71,73.2,17.6
MPWR,15,15,100.0,79,69.6,19.6
EXPE,15,9,60.0,66,80.3,16.4
DDOG,15,11,73.3,59,76.3,14.6
TTD,15,9,60.0,56,75.0,13.9
WBD,15,10,66.7,49,65.3,12.1
DECK,15,11,73.3,65,80.0,16.1
AVGO,15,15,100.0,90,66.7,22.3
TPR,15,12,80.0,77,72.7,19.1
AMD,15,14,93.3,71,69.0,17.6
JBL,14,11,78.6,78,74.4,19.3
GNRC,14,13,92.9,66,74.2,16.4
GFS,14,12,85.7,51,70.6,12.6
NEM,14,13,92.9,77,71.4,19.1
WDC,14,13,92.9,95,77.9,23.5
VST,14,11,78.6,82,74.4,20.3
FSLR,14,9,64.3,64,68.8,15.9
ON,14,12,85.7,67,76.1,16.6
TEAM,14,8,57.1,60,83.3,14.9
AMAT,14,12,85.7,85,70.6,21.1
KLAC,14,14,100.0,96,71.9,23.8
LRCX,13,13,100.0,91,74.7,22.5
ZBRA,13,9,69.2,61,78.7,15.1
ALGN,13,10,76.9,53,73.6,13.1
NCLH,13,8,61.5,69,85.5,17.1
HPE,13,8,61.5,64,81.2,15.9
UAL,13,9,69.2,74,81.1,18.3
URI,13,10,76.9,68,75.0,16.9
AES,13,8,61.5,52,75.0,12.9
FCX,13,9,69.2,67,76.1,16.6
ORCL,13,12,92.3,71,74.6,17.6
KKR,13,11,84.6,72,75.0,17.8
CCL,13,9,69.2,69,81.2,17.1
DASH,13,11,84.6,80,75.0,19.8
HWM,13,11,84.6,94,76.6,23.3
PDD,13,12,92.3,65,69.2,16.1
GEV,13,11,84.6,69,69.6,32.4
PANW,12,10,83.3,70,82.9,17.3
APA,12,10,83.3,59,71.2,14.6
NRG,12,12,100.0,83,77.1,20.6
BLDR,12,11,91.7,57,73.7,14.1
CAT,12,12,100.0,69,73.9,17.1
WSM,12,9,75.0,65,80.0,16.1
CEG,12,10,83.3,81,82.7,20.1
RCL,12,9,75.0,79,81.0,19.6
GLW,12,10,83.3,78,71.8,19.3
FICO,12,9,75.0,69,79.7,17.1
TPL,12,10,83.3,60,75.0,14.9
STX,12,11,91.7,90,76.7,22.3
ZS,11,9,81.8,75,78.7,18.6
DVA,11,8,72.7,51,78.4,12.6
META,11,11,100.0,74,73.0,18.3
CZR,11,6,54.5,48,83.3,11.9
STLD,11,9,81.8,69,79.7,17.1
BX,11,9,81.8,61,75.4,15.1
RL,11,9,81.8,70,75.7,17.3
LLY,11,9,81.8,76,80.3,18.8
LUV,11,8,72.7,55,74.5,13.6
CRL,11,9,81.8,51,74.5,12.6
NXPI,10,7,70.0,71,81.7,17.6
EL,10,5,50.0,50,88.0,12.4
KMX,10,7,70.0,49,75.5,12.1
EPAM,10,6,60.0,48,83.3,11.9
VTRS,10,10,100.0,54,68.5,13.4
FTNT,10,7,70.0,65,81.5,16.1
MELI,10,6,60.0,58,82.8,14.4
PWR,10,10,100.0,91,75.8,22.5
DAL,10,10,100.0,76,82.9,18.8
ULTA,9,6,66.7,61,86.9,15.1
GS,9,8,88.9,75,84.0,18.6
LULU,9,6,66.7,49,81.6,12.1
DHI,9,5,55.6,56,83.9,13.9
CFG,9,6,66.7,70,87.1,17.3
CE,9,7,77.8,58,87.9,14.4
