symbol,name,sector,market_cap_bn,close,day_ret_pct,n_detectors,detectors,trend,rev_growth
TRV,"The Travelers Companies, Inc. Common Stock",Financial Services,78.5,368.98,9.22,6,fast_donchian;donchian_20;six_month_high;volume_thrust;range_expansion;trend_continuation,up,0.003
VG,"Venture Global, Inc. Class A common stock",Energy,34.3,13.8,8.92,5,fast_donchian;donchian_20;gap_go;range_expansion;trend_continuation,up,0.589
EQNR,Equinor ASA,Energy,93.4,37.37,4.88,4,fast_donchian;donchian_20;gap_go;trend_continuation,weak,-0.053
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Defensive,41.4,85.9,3.49,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.016
VLO,Valero Energy Corporation Common Stock,Energy,91.9,309.65,3.13,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.066
PSX,Phillips 66 Common Stock,Energy,82.9,206.86,2.75,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.069
SUN,Sunoco LP Common Units representing limited partner interests,Energy,15.2,74.0,2.68,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,1.064
EG,"Everest Group, Ltd. Common Stock",Financial Services,15.1,382.57,2.51,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,-0.047
MPC,Marathon Petroleum Corporation Common Stock,Energy,91.3,312.6,2.21,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.088
CTRE,"CareTrust REIT, Inc. Common Stock",Real Estate,10.1,42.88,2.17,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.032
DINO,HF Sinclair Corporation Common Stock,Energy,16.0,88.59,2.02,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.118
PM,Philip Morris International Inc Common Stock,Consumer Defensive,300.8,192.98,1.65,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.091
MO,"Altria Group, Inc.",Consumer Defensive,123.9,74.21,1.62,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.053
VTR,"Ventas, Inc. Common Stock",Real Estate,46.7,96.1,1.12,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.219
AHR,"American Healthcare REIT, Inc. Common Stock",Real Estate,11.0,57.16,1.01,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.209
CP,Canadian Pacific Kansas City Limited Common Shares,Industrials,83.6,93.71,0.86,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,-0.025
EMA,Emera Incorporated Common Shares,Utilities,16.9,55.11,0.86,4,fast_donchian;donchian_20;six_month_high;squeeze_release,up,0.051
DOC,"Healthpeak Properties, Inc. Common Stock",Real Estate,15.5,22.51,0.81,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.071
UNP,Union Pacific Corporation Common Stock,Industrials,179.2,301.75,0.78,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.032
RGA,"Reinsurance Group of America, Incorporated Common Stock",Financial Services,15.8,241.79,0.78,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.235
WELL,Welltower Inc. Common Stock,Real Estate,171.7,243.25,0.73,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.383
OHI,"Omega Healthcare Investors, Inc. Common Stock",Real Estate,15.0,50.21,0.68,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.143
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),Energy,29.8,51.29,0.65,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,-0.077
CNI,Canadian National Railway Company Common Stock,Industrials,78.4,129.03,0.63,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,-0.005
NSC,Norfolk Southern Corporation Common Stock,Industrials,76.4,340.16,0.62,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.002
FRT,Federal Realty Investment Trust Common Stock,Real Estate,10.9,126.02,0.53,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.103
EXPD,"Expeditors International of Washington, Inc. Common Stock",Industrials,23.9,182.8,0.46,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.044
REG,Regency Centers Corporation Common Stock,Real Estate,15.1,82.68,0.36,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.1
KIM,Kimco Realty Corporation (HC) Common Stock,Real Estate,17.6,26.12,0.35,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.04
GL,Globe Life Inc. Common Stock,Financial Services,14.3,184.76,0.11,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.054
MFC,Manulife Financial Corporation Common Stock,Financial Services,72.4,43.39,0.05,4,fast_donchian;donchian_20;six_month_high;trend_continuation,up,0.121
MUSA,Murphy USA Inc. Common Stock,Consumer Cyclical,11.4,618.57,3.27,3,fast_donchian;donchian_20;trend_continuation,up,0.071
SU,Suncor Energy  Inc. Common Stock,Energy,73.7,62.43,2.88,3,fast_donchian;donchian_20;trend_continuation,weak,0.175
FANG,"Diamondback Energy, Inc. Common Stock",Energy,55.0,195.54,2.85,3,fast_donchian;donchian_20;trend_continuation,weak,0.042
BP,BP p.l.c. Common Stock,Energy,109.7,41.9,2.0,3,fast_donchian;donchian_20;trend_continuation,weak,0.116
CVX,Chevron Corporation Common Stock,Energy,373.2,187.38,1.91,3,fast_donchian;donchian_20;trend_continuation,weak,0.023
EOG,"EOG Resources, Inc. Common Stock",Energy,74.5,139.89,1.78,3,fast_donchian;donchian_20;trend_continuation,weak,0.156
COP,ConocoPhillips Common Stock,Energy,139.8,114.71,1.66,3,fast_donchian;donchian_20;trend_continuation,weak,-0.053
AFL,AFLAC Incorporated Common Stock,Financial Services,63.5,124.72,1.38,3,fast_donchian;donchian_20;six_month_high,up,0.279
WPC,W. P. Carey Inc. REIT,Real Estate,16.9,75.86,0.99,3,fast_donchian;donchian_20;trend_continuation,up,0.089
XOM,ExxonMobil Holdings Corporation Common Stock,Energy,610.8,147.36,0.97,3,fast_donchian;donchian_20;trend_continuation,weak,0.026
TRGP,"Targa Resources, Inc. Common Stock",Energy,60.7,282.91,0.94,3,fast_donchian;donchian_20;six_month_high,up,-0.102
PRU,"Prudential Financial, Inc. Common Stock",Financial Services,41.3,119.07,0.69,3,fast_donchian;donchian_20;six_month_high,up,0.153
SFD,"Smithfield Foods, Inc. Common Stock",Consumer Defensive,10.1,25.77,0.59,3,fast_donchian;squeeze_release;trend_continuation,weak,0.008
EA,Electronic Arts Inc. Common Stock,Communication Services,52.4,208.9,0.51,3,fast_donchian;donchian_20;six_month_high,up,0.119
PAA,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",Energy,16.8,23.87,0.51,3,fast_donchian;donchian_20;trend_continuation,up,0.087
