ticker,date,close,n_detectors,detectors,trend
DELL,2026-05-22,295.19,7,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion+trend_continuation,up
HPQ,2026-05-22,25.24,6,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion,up
NTAP,2026-05-22,139.36,6,fast_donchian+donchian_20+six_month_high+volume_thrust+range_expansion+trend_continuation,up
ROST,2026-05-22,234.81,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
GFS,2026-05-22,85.64,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
HPE,2026-05-22,37.58,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
MRK,2026-05-22,122.41,5,fast_donchian+donchian_20+gap_go+range_expansion+trend_continuation,weak
AAPL,2026-05-22,308.82,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ARM,2026-05-22,306.51,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ASML,2026-05-22,1632.9,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
BK,2026-05-21,138.98,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
CDNS,2026-05-22,373.59,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CSCO,2026-05-22,120.41,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
DAL,2026-05-22,76.14,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
DDOG,2026-05-22,222.32,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ENPH,2026-05-22,64.03,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FRT,2026-05-22,119.75,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-05-22,133.93,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
LRCX,2026-05-22,305.35,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MRVL,2026-05-22,196.33,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MS,2026-05-22,201.03,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NXPI,2026-05-22,316.47,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
PLD,2026-05-22,145.9,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
SNPS,2026-05-22,524.74,4,fast_donchian+donchian_20+range_expansion+trend_continuation,up
SWKS,2026-05-22,82.42,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
EL,2026-05-22,88.32,3,fast_donchian+donchian_20+range_expansion,down
CRWD,2026-05-22,663.46,3,fast_donchian+donchian_20+six_month_high,up
ESS,2026-05-22,276.7,3,fast_donchian+donchian_20+six_month_high,up
FFIV,2026-05-22,393.63,3,fast_donchian+donchian_20+six_month_high,up
PANW,2026-05-22,260.58,3,fast_donchian+donchian_20+six_month_high,up
VRSN,2026-05-22,310.0,3,fast_donchian+donchian_20+six_month_high,up
DRI,2026-05-22,203.51,3,fast_donchian+donchian_20+trend_continuation,weak
EW,2026-05-22,85.78,3,fast_donchian+donchian_20+squeeze_release,weak
HON,2026-05-22,227.92,3,fast_donchian+donchian_20+trend_continuation,weak
ARE,2026-05-22,48.37,2,fast_donchian+donchian_20,down
BAX,2026-05-22,19.18,2,fast_donchian+donchian_20,down
BBY,2026-05-22,61.63,2,fast_donchian+donchian_20,down
COR,2026-05-22,274.91,2,fast_donchian+gap_go,down
IBM,2026-05-22,253.84,2,fast_donchian+donchian_20,down
AMD,2026-05-22,467.51,2,six_month_high+trend_continuation,up
ANET,2026-05-22,154.03,2,fast_donchian+trend_continuation,up
CPT,2026-05-22,107.47,2,fast_donchian+donchian_20,up
CZR,2026-05-22,28.47,2,fast_donchian+trend_continuation,up
F,2026-05-22,14.93,2,six_month_high+range_expansion,up
FDX,2026-05-22,394.2,2,fast_donchian+trend_continuation,up
FSLR,2026-05-22,257.85,2,fast_donchian+donchian_20,up
GNRC,2026-05-22,270.14,2,gap_go+trend_continuation,up
GS,2026-05-22,996.73,2,six_month_high+trend_continuation,up
INVH,2026-05-22,29.29,2,fast_donchian+six_month_high,up
KIM,2026-05-22,24.11,2,fast_donchian+trend_continuation,up
LIN,2026-05-22,517.58,2,fast_donchian+six_month_high,up
LLY,2026-05-22,1065.0,2,fast_donchian+donchian_20,up
NDSN,2026-05-22,289.9,2,fast_donchian+trend_continuation,up
STLD,2026-05-22,240.03,2,fast_donchian+trend_continuation,up
TXN,2026-05-22,309.21,2,six_month_high+trend_continuation,up
UDR,2026-05-22,38.01,2,fast_donchian+donchian_20,up
DECK,2026-05-22,106.67,2,fast_donchian+trend_continuation,weak
DGX,2026-05-22,195.21,2,fast_donchian+squeeze_release,weak
JNJ,2026-05-22,234.34,2,fast_donchian+donchian_20,weak
LMT,2026-05-22,533.24,2,fast_donchian+donchian_20,weak
BSX,2026-05-22,57.78,1,fast_donchian,down
CDW,2026-05-22,110.82,1,fast_donchian,down
GPN,2026-05-22,73.26,1,fast_donchian,down
HRL,2026-05-22,21.24,1,fast_donchian,down
PEG,2026-05-22,79.51,1,fast_donchian,down
VST,2026-05-22,156.27,1,fast_donchian,down
WRB,2026-05-22,67.54,1,squeeze_release,down
AMAT,2026-05-22,432.16,1,trend_continuation,up
BIIB,2026-05-22,193.76,1,trend_continuation,up
DOC,2026-05-22,19.73,1,six_month_high,up
EMN,2026-05-22,74.12,1,trend_continuation,up
EQIX,2026-05-22,1079.79,1,trend_continuation,up
ETN,2026-05-22,391.35,1,trend_continuation,up
EVRG,2026-05-22,83.94,1,fast_donchian,up
FITB,2026-05-22,49.48,1,trend_continuation,up
GLW,2026-05-22,194.05,1,trend_continuation,up
IFF,2026-05-22,75.28,1,trend_continuation,up
INTC,2026-05-22,119.84,1,trend_continuation,up
JBL,2026-05-22,364.35,1,trend_continuation,up
KLAC,2026-05-22,1888.38,1,trend_continuation,up
LNT,2026-05-22,73.95,1,fast_donchian,up
MGM,2026-05-22,38.4,1,trend_continuation,up
MPWR,2026-05-22,1589.81,1,trend_continuation,up
NTRS,2026-05-22,167.77,1,fast_donchian,up
NUE,2026-05-22,232.0,1,trend_continuation,up
ON,2026-05-22,116.2,1,trend_continuation,up
PFG,2026-05-22,103.85,1,squeeze_release,up
QCOM,2026-05-22,238.16,1,six_month_high,up
ROK,2026-05-22,452.29,1,trend_continuation,up
SLB,2026-05-22,57.28,1,six_month_high,up
SMCI,2026-05-22,35.58,1,six_month_high,up
STX,2026-05-22,812.73,1,trend_continuation,up
TER,2026-05-22,358.44,1,trend_continuation,up
TFC,2026-05-22,48.38,1,trend_continuation,up
TRGP,2026-05-22,276.75,1,six_month_high,up
WST,2026-05-22,316.42,1,trend_continuation,up
ACGL,2026-05-22,96.3,1,squeeze_release,weak
AEE,2026-05-22,111.29,1,fast_donchian,weak
AMGN,2026-05-22,339.3,1,fast_donchian,weak
CB,2026-05-22,327.89,1,squeeze_release,weak
CMS,2026-05-22,74.53,1,fast_donchian,weak
CNP,2026-05-22,42.83,1,fast_donchian,weak
DTE,2026-05-22,145.3,1,fast_donchian,weak
DUK,2026-05-22,125.67,1,fast_donchian,weak
EXC,2026-05-22,46.23,1,fast_donchian,weak
FE,2026-05-22,46.31,1,fast_donchian,weak
HSIC,2026-05-22,74.21,1,fast_donchian,weak
LHX,2026-05-22,311.98,1,fast_donchian,weak
MAA,2026-05-22,131.14,1,fast_donchian,weak
MTB,2026-05-22,213.18,1,trend_continuation,weak
PKG,2026-05-22,215.91,1,trend_continuation,weak
PNW,2026-05-22,102.94,1,fast_donchian,weak
REG,2026-05-22,78.84,1,fast_donchian,weak
RF,2026-05-22,27.83,1,trend_continuation,weak
RL,2026-05-22,377.78,1,trend_continuation,weak
TXT,2026-05-22,91.83,1,trend_continuation,weak
UPS,2026-05-22,101.02,1,fast_donchian,weak
VZ,2026-05-22,48.35,1,fast_donchian,weak
WEC,2026-05-22,113.41,1,fast_donchian,weak
