ticker,algorithm,entry_date,entry_price,outcome,breakout_class,days_to_resolve,fwd_return_%,max_favorable_%,max_adverse_%
GOOG,donchian_20,2021-06-04,121.59,timeout_up,marginal,20,5.0,5.1,-0.4
GOOG,donchian_20,2021-07-02,127.67,true,confirmed,15,5.6,8.8,-0.5
GOOG,donchian_20,2021-07-22,132.24,timeout_up,marginal,20,2.7,5.0,0.6
GOOG,donchian_20,2021-08-23,139.95,timeout_down,marginal,20,-1.0,4.1,-2.9
GOOG,donchian_20,2021-10-18,141.8,timeout_up,marginal,20,4.5,5.6,-4.3
GOOG,donchian_20,2022-02-02,146.83,false,fakeout,2,-9.3,0.7,-15.7
GOOG,donchian_20,2022-03-22,139.14,false,fakeout,14,-8.6,2.8,-9.8
GOOG,donchian_20,2022-07-07,118.33,false,fakeout,4,-0.4,0.9,-12.2
GOOG,donchian_20,2022-08-12,121.65,false,fakeout,6,-8.8,0.5,-13.2
GOOG,donchian_20,2022-10-25,104.08,false,fakeout,1,-7.2,-4.3,-20.5
GOOG,donchian_20,2022-11-30,100.62,false,fakeout,5,-12.3,1.1,-14.9
GOOG,donchian_20,2023-01-19,93.15,true,confirmed,6,2.0,15.9,-1.3
GOOG,donchian_20,2023-03-16,100.25,true,confirmed,15,8.3,8.5,-0.8
GOOG,donchian_20,2023-04-06,108.01,false,fakeout,13,-2.5,0.6,-5.2
GOOG,donchian_20,2023-05-10,111.37,true,confirmed,5,9.3,15.4,2.4
GOOG,donchian_20,2023-07-26,128.6,timeout_up,fakeout,20,2.7,3.4,-2.1
GOOG,donchian_20,2023-08-29,134.39,false,fakeout,19,-3.0,3.3,-5.4
GOOG,donchian_20,2023-09-14,137.86,false,fakeout,5,0.9,2.4,-7.8
GOOG,donchian_20,2023-10-11,140.55,false,fakeout,10,-6.0,0.5,-14.3
GOOG,donchian_20,2023-11-22,138.88,false,fakeout,5,1.3,2.2,-7.6
GOOG,donchian_20,2024-01-19,146.77,false,marginal,10,-4.2,4.9,-6.6
GOOG,donchian_20,2024-03-18,147.27,true,confirmed,17,5.1,8.9,-1.0
GOOG,donchian_20,2024-04-09,156.85,true,confirmed,13,9.4,11.6,-3.4
