ticker,date,close,n_detectors,detectors,trend
ROST,2026-05-22,232.31,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
HPE,2026-05-22,37.33,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
HPQ,2026-05-22,25.42,5,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion,up
NTAP,2026-05-22,139.0,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
BK,2026-05-21,138.98,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
CSCO,2026-05-22,120.57,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-05-22,133.15,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
GS,2026-05-22,1001.0,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NXPI,2026-05-22,312.69,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
SNPS,2026-05-22,530.31,4,fast_donchian+donchian_20+range_expansion+trend_continuation,up
TXN,2026-05-22,314.54,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CRWD,2026-05-22,671.23,3,fast_donchian+donchian_20+six_month_high,up
FFIV,2026-05-22,392.36,3,fast_donchian+donchian_20+six_month_high,up
SWKS,2026-05-22,80.14,3,fast_donchian+donchian_20+six_month_high,up
DGX,2026-05-22,196.5,3,fast_donchian+squeeze_release+trend_continuation,weak
BAX,2026-05-22,19.26,2,fast_donchian+donchian_20,down
BBY,2026-05-22,61.78,2,fast_donchian+donchian_20,down
COR,2026-05-22,275.43,2,fast_donchian+gap_go,down
EL,2026-05-22,86.27,2,fast_donchian+range_expansion,down
MMM,2026-05-22,153.19,2,fast_donchian+donchian_20,down
AMD,2026-05-22,468.17,2,six_month_high+trend_continuation,up
ANET,2026-05-22,153.45,2,fast_donchian+trend_continuation,up
CZR,2026-05-22,28.41,2,fast_donchian+trend_continuation,up
GNRC,2026-05-22,266.26,2,gap_go+trend_continuation,up
KIM,2026-05-22,24.08,2,fast_donchian+trend_continuation,up
PLD,2026-05-22,145.28,2,six_month_high+squeeze_release,up
ABBV,2026-05-22,216.68,2,fast_donchian+donchian_20,weak
CL,2026-05-22,91.02,2,fast_donchian+donchian_20,weak
DXCM,2026-05-22,72.81,2,fast_donchian+donchian_20,weak
EW,2026-05-22,84.95,2,fast_donchian+squeeze_release,weak
JNJ,2026-05-22,234.63,2,fast_donchian+donchian_20,weak
BSX,2026-05-22,57.78,1,fast_donchian,down
DECK,2026-05-22,102.7,1,trend_continuation,down
GPN,2026-05-22,73.08,1,fast_donchian,down
LH,2026-05-22,260.17,1,fast_donchian,down
PEG,2026-05-22,79.73,1,fast_donchian,down
VST,2026-05-22,157.35,1,fast_donchian,down
WRB,2026-05-22,67.55,1,squeeze_release,down
AMAT,2026-05-22,435.55,1,trend_continuation,up
C,2026-05-22,125.61,1,trend_continuation,up
CAT,2026-05-22,887.81,1,trend_continuation,up
CFG,2026-05-22,63.25,1,trend_continuation,up
DOC,2026-05-22,19.75,1,six_month_high,up
EMN,2026-05-22,73.95,1,trend_continuation,up
ESS,2026-05-22,275.57,1,six_month_high,up
ETN,2026-05-22,390.52,1,trend_continuation,up
F,2026-05-22,14.86,1,six_month_high,up
FITB,2026-05-22,49.56,1,trend_continuation,up
GEV,2026-05-22,1051.92,1,trend_continuation,up
GLW,2026-05-22,193.76,1,trend_continuation,up
INTC,2026-05-22,120.4,1,trend_continuation,up
INVH,2026-05-22,29.18,1,six_month_high,up
KEY,2026-05-22,21.6,1,trend_continuation,up
LNT,2026-05-22,73.94,1,fast_donchian,up
MCHP,2026-05-22,94.42,1,trend_continuation,up
MGM,2026-05-22,38.57,1,trend_continuation,up
MPWR,2026-05-22,1579.57,1,trend_continuation,up
NTRS,2026-05-22,168.35,1,fast_donchian,up
NUE,2026-05-22,231.6,1,trend_continuation,up
ON,2026-05-22,116.82,1,trend_continuation,up
PNC,2026-05-22,220.22,1,trend_continuation,up
QCOM,2026-05-22,239.1,1,six_month_high,up
ROK,2026-05-22,452.62,1,trend_continuation,up
STT,2026-05-22,154.86,1,six_month_high,up
TFC,2026-05-22,48.33,1,trend_continuation,up
WST,2026-05-22,316.48,1,trend_continuation,up
ACGL,2026-05-22,96.27,1,squeeze_release,weak
AEE,2026-05-22,111.11,1,fast_donchian,weak
AMGN,2026-05-22,339.02,1,fast_donchian,weak
CMS,2026-05-22,74.55,1,fast_donchian,weak
CNP,2026-05-22,42.69,1,fast_donchian,weak
DRI,2026-05-22,202.71,1,trend_continuation,weak
DTE,2026-05-22,145.08,1,fast_donchian,weak
DUK,2026-05-22,125.46,1,fast_donchian,weak
FE,2026-05-22,46.13,1,fast_donchian,weak
HSIC,2026-05-22,74.07,1,fast_donchian,weak
L,2026-05-22,109.89,1,fast_donchian,weak
MTB,2026-05-22,213.02,1,trend_continuation,weak
PNW,2026-05-22,102.6,1,fast_donchian,weak
REG,2026-05-22,78.65,1,fast_donchian,weak
RF,2026-05-22,27.96,1,trend_continuation,weak
TXT,2026-05-22,91.6,1,trend_continuation,weak
UPS,2026-05-22,100.31,1,fast_donchian,weak
VZ,2026-05-22,48.44,1,fast_donchian,weak
WEC,2026-05-22,113.24,1,fast_donchian,weak
